,pericycle,cortex,primary_phloem,secondary_phloem,primary_xylem,secondary_xylem,pith
Heterocypsela_andersonii,a,a,a,a,a,a,a
Vernonanthura_patens,a,a,a,a,a,a,a
Vernonia_gigantea,a,a,a,a,a,a,a
Vernonia_missurica,a,a,a,a,a,a,a
Chresta_martii,a,a,a,a,a,a,a
Chresta_pycnocephala,a,a,a,a,a,a,a
Chresta_angustifolia,a,a,a,a,a,a,a
Chresta_filicifolia,a,a,a,a,a,a,a
Chresta_pacourinoides,a,a,a,a,a,a,a
Cyrtocymura_scorpioides,a,a,a,a,a,a,a
Lepidaploa_opposita,a,a,a,a,a,a,a
Lessingianthus_durus,a,a,a,a,a,a,a
Lessingianthus_monocephalus,a,a,a,a,a,a,a
Elephantopus_mollis,a,a,a,a,a,a,a
Soaresia_velutina,a,a,a,a,a,a,a
Stilpnopappus_tomentosus,a,a,a,a,a,a,a
Strophopappus_speciosus,a,a,a,a,a,a,a
Centratherum_punctatum,a,a,a,a,a,a,a
Albertinia_brasiliensis,a,b,a,b,a,a,b
Gorceixia_decurrens,a,a,b,b,a,a,b
Eremanthus_crotonoides,a,a,a,b,a,a,b
Hololepis_pedunculata,b,b,b,b,a,a,b
Heterocoma_ekmaniana,a,b,a,a,a,a,b
Chronopappus_bifrons,a,a,a,a,a,a,b
Maschalostachys_mellosilvae,a,b,a,a,a,a,a
Paralychnophora_harleyi,b,b,b,b,a,b,b
Minasia_pereirae,b,b,a,a,a,a,b
Piptolepis_ericoides,a,b,a,b,a,a,a
Lychnophorella_morii,a,a,a,b,a,a,a
Lychnophora_salicifolia,b,b,a,b,a,b,b
Lychnophora_haplopappa,b,b,b,b,a,a,b
Lychnophora_hatschbachii,a,b,a,b,a,a,b
Lychnophorella_santosii,b,b,a,b,a,a,b
Lychnophorella_leucodendron,a,b,a,b,a,a,b
Eremanthus_erythropappus,b,b,a,b,a,a,b
Eremanthus_incanus,a,b,b,b,a,a,b
Eremanthus_auriculatus,a,a,a,b,a,a,b
Lychnophora_brunioides,a,a,a,a,a,a,a
Allocephalus_gamolepis,a,a,a,a,a,a,a
Stokesia_laevis,a,a,a,a,a,a,a
Gymnanthemum_amygdalinum,a,a,a,a,a,a,a
Baccharoides_anthelmintica,a,a,a,a,a,a,a
Moquinia_recemosa,a,a,a,a,a,a,b
Pseudostiffita_kingii,a,a,a,a,a,a,a